clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
2,921,0,0,0,0,1,0,1,0,0,0,0,0,-0.7698725714985075,1.162263255164596,-0.6508494212395314,-0.8363031388366463,-0.861312019387641,-0.7299443999285175
3,6159,0,0,0,0,1,0,0,1,0,0,0,0,0.44900743244093244,0.1668736709579002,0.6965280314576612,0.5837870295753613,0.6221117851628027,0.6253210584464293
7,1171,0,0,0,0,1,1,0,0,0,0,0,0,-1.0010394687973667,0.1668736709579002,-0.6508494212395314,-1.193558527116397,-1.1669872275980353,-1.162475929197117
2,1056,0,0,1,0,0,0,0,0,0,1,0,0,-0.8119029164619365,-0.3308211211454502,-1.0999752388052622,-0.8184403694226592,-0.7893884409851952,-0.8308684234245238
4,868,0,0,0,0,1,0,0,0,1,0,0,0,-0.8329180889436509,-0.18862260911592008,0.24740221389193032,-0.898822831785603,-0.8882833612885576,-0.9029570116359569
2,6727,0,0,1,0,0,0,0,0,0,0,0,1,1.604841918935229,0.024675158928370067,-0.20172360367380052,1.5305138085167005,1.4941851732924571,1.5048018346259153
3,1569,0,0,0,0,1,0,0,1,0,0,0,0,-0.6017511916447916,0.8067669750907757,-1.0999752388052622,-0.5772929823338273,-0.5466463638769404,-0.4704254823673573
0,5182,0,0,0,0,1,0,0,0,0,0,0,1,1.8780391611975171,-1.1129129373078508,1.5947796665891227,1.7627298108985379,1.8538030653046862,1.6201435757642089
4,698,0,1,0,0,0,0,0,0,0,1,0,0,-1.0220546412790812,1.304461767194126,-1.0999752388052622,-1.2560782200653529,-1.292853489802315,-1.14805821155483
5,2870,0,0,0,1,0,0,1,0,0,0,0,0,-0.3285539493825034,0.23797292697266526,0.24740221389193032,-0.1485865163981272,-0.1960189191650177,-0.1388179765947641
5,2863,0,0,0,1,0,0,0,0,0,1,0,0,-0.1814477420105021,-0.18862260911592008,2.0439054841548536,0.012178408327761021,-0.04318131505982056,-0.037893953098757725
4,5167,0,0,0,1,0,0,1,0,0,0,0,0,0.2388557076237877,0.09577441494313513,0.6965280314576612,0.44981625897045546,0.3973506026551598,0.4378907290967022
2,3931,0,1,0,0,0,0,0,0,1,0,0,0,0.2178405351420732,-2.819295081662192,0.24740221389193032,0.6195125684033365,0.5861499959615798,0.2360426821046894
2,4194,0,0,1,0,0,0,0,0,0,0,0,1,0.44900743244093244,-1.1129129373078508,0.6965280314576612,0.6731008766452995,0.703025810865554,0.5388147525927092
2,18757,0,0,1,0,0,0,0,0,1,0,0,0,2.5925550255758094,-1.255111449337381,-0.7406745847526788,2.1825048921272443,2.3123158776202786,2.038257387390522
4,1883,0,0,1,0,0,0,1,0,0,0,0,0,-0.5807360191630772,-1.255111449337381,-0.6508494212395314,-0.42545944231493343,-0.3938087597717433,-0.5425140705787903
5,957,0,0,1,0,0,1,0,0,0,0,0,0,-0.9169787788705089,0.09577441494313513,-1.998226873936724,-1.0327936023905089,-1.0141496234928382,-1.0038810351319638
3,4959,0,0,0,0,1,0,0,0,0,1,0,0,0.44900743244093244,-0.5441188891897404,2.4930313017205843,0.5837870295753613,0.6131213378624972,0.5243970349504222
6,1758,0,0,0,1,0,0,0,0,0,0,1,0,-0.4546449842727904,0.5934692070464855,0.6965280314576612,-0.3718711340729712,-0.4117896543723551,-0.32624830594449056
2,4594,0,0,0,0,1,0,0,1,0,0,0,0,0.47002260492264697,0.8778662311055407,0.24740221389193032,0.5659242601613742,0.6041308905621917,0.6974096466578616
1,4398,0,0,1,0,0,0,0,0,1,0,0,0,0.47002260492264697,-0.2597218651306851,-1.549101056370993,0.7356205695942553,0.7120162581658596,0.6829919290155753
0,16538,0,0,1,0,0,0,0,0,0,0,0,1,4.652041928783828,2.584248375459882,1.145653849023392,2.914878438100733,2.8787140575395376,3.350269692838608
6,14584,0,0,1,0,0,1,0,0,0,0,0,0,0.6591591572580775,0.23797292697266526,-1.0999752388052622,0.8070716472502054,0.8199016257695283,0.8415868230807291
2,4242,0,0,0,1,0,0,0,0,0,0,1,0,0.44900743244093244,0.8067669750907757,0.24740221389193032,0.5748556448683678,0.550188206760357,0.668574211373289
3,832,0,0,0,0,1,0,0,1,0,0,0,0,-0.8539332614253654,-1.1840121933226158,-0.6508494212395314,-0.8541659082506343,-0.8163597828861118,-0.9462101645628171
3,16783,0,0,0,1,0,0,0,0,1,0,0,0,2.004130196087804,-0.18862260911592008,0.6965280314576612,1.8163181191405002,1.736927250400712,1.7354853169025022
2,2319,0,0,1,0,0,0,0,0,0,0,1,0,-0.1814477420105021,0.1668736709579002,-1.549101056370993,-0.005684361086226911,0.019751816042319716,0.019776917470388965
4,9877,0,0,0,1,0,0,0,0,0,0,1,0,1.5417964014900856,0.1668736709579002,-0.20172360367380052,1.4858568849817309,1.4582233840912342,1.490384116983629
1,5138,0,0,0,1,0,1,0,0,0,0,0,0,0.596113639812934,0.23797292697266526,0.24740221389193032,0.7981402625432118,0.7749493892679999,0.8127513877961551
2,655,0,1,0,0,0,0,0,0,1,0,0,0,-0.8329180889436509,1.020064743135071,0.24740221389193032,-0.9970680635625337,-0.9242451504897805,-0.8597038587090972
3,776,0,0,1,0,0,1,0,0,0,0,0,0,-0.9169787788705089,0.1668736709579002,-1.549101056370993,-1.005999448269528,-0.9961687288922263,-0.9750455998473906
4,3750,0,1,0,0,0,0,0,1,0,0,0,0,0.2178405351420732,1.4466602792236511,-0.6508494212395314,0.23546302600260502,0.17258942014751685,0.38021985852755547
7,1122,0,0,1,0,0,0,0,1,0,0,0,0,-1.0220546412790812,0.30907218298743033,-0.6508494212395314,-1.2382154506513656,-1.274872595201704,-1.2201467997662636
2,648,0,0,1,0,0,0,0,0,0,1,0,0,-0.9169787788705089,-0.18862260911592008,-0.20172360367380052,-1.005999448269528,-1.0411209653937548,-1.0327164704165372
3,1209,0,0,0,0,1,0,0,0,0,1,0,0,-0.6227663641265061,0.8778662311055407,-1.0999752388052622,-0.6040871364548087,-0.5826081530781633,-0.49926091765193065
3,7413,0,0,1,0,0,0,0,0,1,0,0,0,0.8482957095935075,0.5934692070464855,-0.20172360367380052,0.905316879027137,0.9727392298747255,1.014599434788169
4,7391,0,0,1,0,0,0,0,0,1,0,0,0,0.49103777740436144,0.45127069501695544,-0.6508494212395314,0.6373753378173244,0.6670640216643312,0.7118273643001493
4,6877,0,0,0,1,0,0,0,0,0,0,1,0,1.037432261928938,0.8778662311055407,-0.20172360367380052,1.128601496701981,1.0446628082771712,1.2020297641378956
5,10453,0,0,0,0,1,1,0,0,0,0,0,0,0.44900743244093244,0.5223699510317205,0.6965280314576612,0.5480614907473863,0.6041308905621917,0.6397387760887157
3,596,0,0,1,0,0,0,0,0,1,0,0,0,-0.9590091238339378,0.024675158928370067,-0.6508494212395314,-1.1131760647534525,-1.086073201895284,-1.090387340985684
4,10669,0,0,0,1,0,0,0,1,0,0,0,0,0.9743867444837945,0.1668736709579002,0.24740221389193032,1.092875957874006,1.0356723609768657,1.086688022999602
1,1927,0,0,0,1,0,0,0,0,0,0,1,0,-0.1394173970470731,0.1668736709579002,-0.20172360367380052,0.05683533186272966,0.02874226334262524,0.06303007039724931
2,6026,0,0,0,1,0,0,0,0,1,0,0,0,0.8482957095935075,0.8778662311055407,0.24740221389193032,0.8874541096131491,0.8558634149707512,0.9857639995035952
1,2729,0,0,1,0,0,1,0,0,0,0,0,0,-0.1394173970470731,0.024675158928370067,-0.6508494212395314,0.038972562448741734,0.08268494714446,0.06303007039724931
4,555,0,0,0,0,1,0,1,0,0,0,0,0,-1.0640849862425104,0.09577441494313513,-1.0999752388052622,-1.291803758893328,-1.2568917006010922,-1.2633999526931234
4,665,0,0,1,0,0,0,0,1,0,0,0,0,-0.9379939513522234,0.45127069501695544,-1.0999752388052622,-1.104244680046459,-1.086073201895284,-1.0471341880588236
1,3188,0,1,0,0,0,0,0,0,0,0,0,1,0.49103777740436144,-3.956883177898413,2.0439054841548536,0.8606599554921683,0.9008156514722805,0.3369667056006958
1,2856,0,0,1,0,0,0,0,0,0,1,0,0,0.47002260492264697,-0.11752335310115501,-1.0999752388052622,0.682032261352293,0.6311022324631083,0.6397387760887157
3,8812,0,0,0,1,0,0,0,0,0,1,0,0,1.2896143317095115,-0.40192037716021023,1.145653849023392,1.3250919602558435,1.2963953326857316,1.245282917064756
2,709,0,0,1,0,0,1,0,0,0,0,0,0,-1.0430698137607959,0.5223699510317205,-0.20172360367380052,-1.2560782200653529,-1.292853489802315,-1.2201467997662636
4,413,0,0,0,0,1,0,1,0,0,0,0,0,-1.106115331205939,-0.8285159132487956,0.6965280314576612,-1.3721862212562717,-1.3557866209044553,-1.421994846758277
2,6033,0,0,0,1,0,0,0,1,0,0,0,0,0.7222046747032205,-1.5395084733964362,0.24740221389193032,0.9589051872690992,0.9457678879738088,0.740662799584722
1,1287,0,0,1,0,0,0,0,0,1,0,0,0,-0.5387056741996481,0.6645684630612506,-0.6508494212395314,-0.44332221172892056,-0.4747227854744946,-0.3839191765136373
2,1983,0,0,0,0,1,0,1,0,0,0,0,0,-0.39159946682764685,0.30907218298743033,1.145653849023392,-0.2557631328820516,-0.29491383946838007,-0.2397420000907705
2,663,0,1,0,0,0,1,0,0,0,0,0,0,-0.9169787788705089,0.9489654871203058,-1.0999752388052622,-1.0595877565114904,-1.0231400707931437,-0.9462101645628171
3,906,0,0,0,1,0,0,0,1,0,0,0,0,-0.9379939513522234,-0.2597218651306851,0.6965280314576612,-1.0417249870975032,-1.0770827545949777,-1.0759696233433969
2,3614,0,1,0,0,0,0,0,0,0,0,0,1,0.42799225995921797,-2.1794017775293115,2.0439054841548536,0.6641694919383051,0.703025810865554,0.39463757616984246
2,1360,0,0,1,0,0,0,0,1,0,0,0,0,-0.5597208466813627,0.09577441494313513,-1.0999752388052622,-0.47904775055689564,-0.4657323381741891,-0.4560077647250703
5,1911,0,0,1,0,0,0,0,0,1,0,0,0,-0.5807360191630772,0.23797292697266526,-0.6508494212395314,-0.523704674091865,-0.501694127375412,-0.48484320000964365
2,1912,0,0,1,0,0,1,0,0,0,0,0,0,-0.43362981179107585,-0.5441188891897404,-0.20172360367380052,-0.23790036346806448,-0.2679424975674635,-0.3118305883022042
2,2215,0,1,0,0,0,0,0,0,1,0,0,0,-0.1814477420105021,1.5177595352384163,-0.6508494212395314,-0.0949982081561642,-0.12409534076257189,0.06303007039724931
1,956,0,0,0,0,1,0,0,0,0,1,0,0,-0.49667532923621915,0.1668736709579002,2.4930313017205843,-0.4165280576079398,-0.4657323381741891,-0.3839191765136373
1,919,0,0,1,0,0,1,0,0,0,0,0,0,-0.7698725714985075,0.5934692070464855,-0.6508494212395314,-0.7559206764737026,-0.7983788882855007,-0.7155266822862304
6,1064,0,0,1,0,0,0,1,0,0,0,0,0,-1.0220546412790812,-0.3308211211454502,-0.6508494212395314,-1.193558527116397,-1.1669872275980353,-1.2057290821239768
3,8491,0,0,0,0,1,0,0,0,1,0,0,0,0.8482957095935075,1.020064743135071,-0.6508494212395314,0.9767679566830871,0.9187965460728915,1.086688022999602
1,2732,0,0,0,1,0,0,0,0,0,1,0,0,0.2178405351420732,-0.4730196331749753,0.24740221389193032,0.4319534895564675,0.3613888134539369,0.3369667056006958
3,583,0,1,0,0,0,0,0,1,0,0,0,0,-1.0220546412790812,1.375561023208891,0.6965280314576612,-1.309666528307316,-1.274872595201704,-1.162475929197117
7,886,0,0,0,0,1,0,0,1,0,0,0,0,-1.0430698137607959,0.23797292697266526,-0.20172360367380052,-1.309666528307316,-1.2838630425020094,-1.2633999526931234
4,2484,0,0,1,0,0,0,0,0,0,1,0,0,-0.2024629144922166,0.09577441494313513,-1.0999752388052622,-0.05927266932818912,-0.007219525858597661,-0.023476235456470734
6,11182,0,0,1,0,0,0,0,0,1,0,0,0,0.911341227038651,-0.40192037716021023,-0.6508494212395314,1.0839445731670123,1.0536532555774776,1.0001817171458827
2,1995,1,0,0,0,0,0,0,0,1,0,0,0,-0.2024629144922166,-0.11752335310115501,3.840408754417777,-0.0949982081561642,-0.14207623536318295,-0.12440025895247712
1,4727,0,1,0,0,0,1,0,0,0,0,0,0,0.42799225995921797,-0.4730196331749753,1.5947796665891227,0.5748556448683678,0.6311022324631083,0.5388147525927092
1,4204,0,0,0,1,0,0,0,0,1,0,0,0,0.34393157003235997,-1.7528062414407313,0.24740221389193032,0.682032261352293,0.6311022324631083,0.42347301145441585
1,4413,0,0,0,0,1,0,0,0,1,0,0,0,0.49103777740436144,1.2333625111793611,-0.6508494212395314,0.5748556448683678,0.5411977594600514,0.7118273643001493
4,4510,0,0,0,1,0,0,0,0,1,0,0,0,0.2388557076237877,-0.6152181452045055,-1.549101056370993,0.5837870295753613,0.4872550756582167,0.4523084467389892
1,611,0,0,0,0,1,0,1,0,0,0,0,0,-0.8329180889436509,-2.1794017775293115,-0.20172360367380052,-0.7559206764737026,-0.708474415282443,-0.9462101645628171
1,1208,0,0,1,0,0,0,0,1,0,0,0,0,-0.4546449842727904,0.5934692070464855,-0.20172360367380052,-0.40759667290094626,-0.3578469705705204,-0.3118305883022042
3,765,0,0,0,1,0,0,0,0,1,0,0,0,-0.9590091238339378,-1.1129129373078508,0.24740221389193032,-1.0417249870975032,-1.0950636491955894,-1.162475929197117
5,1080,0,0,1,0,0,0,1,0,0,0,0,0,-1.0010394687973667,-0.18862260911592008,-0.20172360367380052,-1.1756957577024092,-1.1939585694989518,-1.1913113644816904
7,808,0,0,1,0,0,0,0,0,0,0,1,0,-0.9379939513522234,0.024675158928370067,-1.998226873936724,-1.0506563718044968,-1.0411209653937548,-1.0471341880588236
5,12207,0,0,1,0,0,0,0,0,1,0,0,0,1.205553641782654,0.38017143900219036,-0.8754123300223967,1.1821898049439432,1.2694239907848142,1.2885360699916149
2,1786,0,0,1,0,0,1,0,0,0,0,0,0,-0.5387056741996481,0.23797292697266526,-0.6508494212395314,-0.42545944231493343,-0.4657323381741891,-0.4127546117982106
1,12440,0,0,0,1,0,0,0,0,0,0,0,1,2.760676405429525,-0.7574166572340305,1.145653849023392,2.2092990462482254,2.2853445357193602,2.110345975601955
4,620,0,0,0,0,1,0,1,0,0,0,0,0,-1.0430698137607959,1.304461767194126,-1.549101056370993,-1.291803758893328,-1.2568917006010922,-1.14805821155483
3,720,0,0,1,0,0,0,0,0,1,0,0,0,-1.0010394687973667,-0.2597218651306851,-1.0999752388052622,-1.1310388341674404,-1.1939585694989518,-1.1768936468394033
4,2274,0,0,0,0,1,0,0,0,0,0,1,0,-0.2024629144922166,0.45127069501695544,0.6965280314576612,-0.15751790110512076,-0.07914310426104347,-0.06672938838333044
3,661,0,0,0,0,1,0,0,0,0,1,0,0,-0.8539332614253654,-0.7574166572340305,-0.6508494212395314,-0.8541659082506343,-0.8433311247870292,-0.9173747292782438
2,1071,1,0,0,0,0,0,0,0,1,0,0,0,-0.6017511916447916,2.442049863430352,-1.0999752388052622,-0.6130185211618023,-0.636550836879998,-0.3695014588713509
3,863,0,0,1,0,0,0,0,1,0,0,0,0,-0.8119029164619365,-0.6152181452045055,-0.20172360367380052,-0.880960062371615,-0.8523215720873347,-0.9173747292782438
3,1963,0,0,1,0,0,1,0,0,0,0,0,0,-0.47566015675450485,0.23797292697266526,-0.6508494212395314,-0.3450769799519897,-0.3938087597717433,-0.34066602358677756
1,9053,0,0,0,0,1,0,0,0,0,0,0,1,2.0251453685695187,-0.6152181452045055,1.145653849023392,1.8431122732614817,1.8897648545059091,1.764320752187075
5,18614,0,0,1,0,0,0,0,1,0,0,0,0,1.4577357115632275,-0.4730196331749753,0.24740221389193032,1.4590627308607502,1.4851947259921516,1.389460093487622
2,421,0,0,0,0,1,0,0,0,0,1,0,0,-1.0430698137607959,-1.6817069854259663,2.4930313017205843,-1.2292840659443722,-1.1939585694989518,-1.3499062585468433
3,1993,0,0,1,0,0,1,0,0,0,0,0,0,-0.5387056741996481,0.024675158928370067,-0.6508494212395314,-0.434390827021927,-0.4657323381741891,-0.44159004708278393
2,417,0,0,1,0,0,0,0,0,0,1,0,0,-1.0220546412790812,-0.40192037716021023,0.24740221389193032,-1.211421296530384,-1.2029490167992583,-1.23456451740855
4,3635,0,0,1,0,0,0,0,0,1,0,0,0,-0.1184022245653586,-0.6152181452045055,-1.0999752388052622,0.10149225539769831,0.16359897284721134,0.06303007039724931
1,4832,0,0,0,1,0,0,0,1,0,0,0,0,0.6381439847763629,0.5934692070464855,-0.20172360367380052,0.7802774931292239,0.7479780473670825,0.8415868230807291
1,15288,0,0,1,0,0,0,0,0,0,1,0,0,2.8027067503929546,0.024675158928370067,-0.20172360367380052,2.21823043095522,2.267363641118749,2.2401054343825346
1,6762,0,0,1,0,0,0,0,1,0,0,0,0,1.037432261928938,-0.7574166572340305,0.24740221389193032,1.1375328814089747,1.2064908596826747,1.0578525877150282
3,4451,0,0,0,0,1,0,0,0,0,0,0,1,0.512052949886076,-1.6106077294112011,0.6965280314576612,0.7713461084222303,0.8378825203701402,0.5820679055195689
3,7152,0,0,0,0,1,0,1,0,0,0,0,0,0.827280537111793,-1.8239054974554914,1.145653849023392,1.075013188460018,1.098605492079006,0.8271691054384427
2,397,0,0,1,0,0,0,0,0,0,1,0,0,-1.1271305036876538,0.30907218298743033,-1.549101056370993,-1.4525686836192162,-1.4367006466072068,-1.4075771291159902
2,844,0,0,1,0,0,0,0,1,0,0,0,0,-0.8749484339070799,-0.6152181452045055,-1.0999752388052622,-0.9166856011995901,-0.9062642558891695,-0.9606278822051035
2,1404,0,0,1,0,0,1,0,0,0,0,0,0,-0.6227663641265061,0.1668736709579002,-1.549101056370993,-0.5683615976268337,-0.5376559165766349,-0.528096352936504
4,10399,0,0,1,0,0,0,0,0,0,0,1,0,1.604841918935229,-0.40192037716021023,0.6965280314576612,1.521582423809706,1.5930800935958203,1.490384116983629
2,14190,0,0,0,1,0,0,1,0,0,0,0,0,1.920069506160946,0.30907218298743033,0.24740221389193032,1.6823473485355942,1.7459176977010176,1.7499030345447886
3,8733,0,0,0,1,0,0,0,1,0,0,0,0,0.8903260545569365,0.1668736709579002,0.24740221389193032,1.039287649632043,1.0176914663762546,1.0434348700727418
4,16994,0,0,0,1,0,0,0,0,0,0,0,1,3.096919165136957,0.45127069501695544,0.24740221389193032,2.3522012015601255,2.411210797923641,2.441953481374549
3,1981,1,0,0,0,0,0,0,0,0,1,0,0,-0.2024629144922166,2.228752095386062,-0.6508494212395314,-0.211106209347083,-0.1960189191650177,0.04861235275496231
1,506,0,0,0,1,0,0,0,1,0,0,0,0,-1.0430698137607959,-0.3308211211454502,0.24740221389193032,-1.2471468353583592,-1.3018439371026205,-1.2922353879776967
1,3534,0,0,0,0,1,0,0,0,0,0,0,1,0.47002260492264697,0.5934692070464855,1.145653849023392,0.5927184142823549,0.6221117851628027,0.6829919290155753
5,1976,0,1,0,0,0,0,0,0,0,1,0,0,-0.39159946682764685,-2.1794017775293115,2.9421571192863154,-0.1753806705191079,-0.20500936646532322,-0.42717232944049693
3,11086,0,0,1,0,0,0,0,0,0,0,1,0,1.8780391611975171,-0.04642409708638995,-0.6508494212395314,1.7180728873635693,1.7818794869022403,1.7354853169025022
3,7220,0,0,1,0,0,1,0,0,0,0,0,0,0.512052949886076,0.09577441494313513,-1.0999752388052622,0.6909636460592866,0.7120162581658596,0.7118273643001493
